iter	Passed	Remaining
282	393	998
283	394	994
284	395	992
285	396	989
286	396	986
287	397	983
288	398	979
289	399	977
290	400	975
291	401	972
292	401	969
293	402	966
294	403	963
295	404	960
296	404	957
297	405	955
298	406	952
299	406	949
300	407	946
301	408	943
302	409	940
303	409	938
304	410	935
305	411	932
306	411	929
307	412	927
308	413	924
309	414	922
310	415	919
311	416	917
312	416	915
313	417	912
314	418	910
315	419	908
316	420	905
317	421	903
318	421	900
319	422	898
320	423	895
321	424	892
322	424	890
323	425	887
324	426	885
325	426	882
326	427	880
327	428	878
328	429	876
329	430	873
330	431	871
331	431	868
332	432	866
333	433	863
334	433	861
335	434	858
336	435	856
337	436	855
338	437	852
339	437	850
340	438	847
341	439	845
342	440	842
343	440	840
344	441	838
345	442	836
346	443	834
347	444	832
348	445	830
349	445	827
350	446	825
351	447	823
352	447	820
353	448	818
354	449	816
355	450	814
356	450	811
357	451	809
358	452	807
359	453	805
360	453	803
361	454	800
362	455	798
363	455	796
364	456	794
365	457	792
366	458	791
367	459	789
368	460	786
369	460	784
370	461	782
371	462	780
372	463	778
373	463	776
374	464	774
375	465	772
376	466	770
377	466	768
378	467	765
379	468	763
380	468	761
381	469	759
382	470	757
383	471	755
384	471	753
385	473	752
386	473	750
387	474	748
388	475	746
389	476	744
390	476	742
391	477	740
392	478	738
393	478	736
394	479	734
395	480	732
396	481	730
397	481	728
398	482	726
399	483	724
400	483	722
401	484	720
402	485	718
403	486	717
404	486	715
405	487	713
406	488	711
407	489	710
408	490	708
409	490	706
410	491	704
411	492	702
412	493	700
413	493	698
414	494	696
415	495	695
416	495	693
417	496	691
418	497	689
419	497	687
420	498	685
421	499	684
422	500	682
423	501	680
424	502	679
425	503	678
426	503	676
427	504	674
428	506	673
429	507	672
430	508	670
431	509	669
432	509	667
433	510	666
434	511	664
435	512	662
436	513	661
437	514	660
438	516	660
439	518	659
440	519	658
441	520	656
442	521	656
443	522	654
444	523	652
445	524	651
446	525	649
447	526	648
448	526	646
449	527	644
450	528	643
451	529	641
452	531	642
453	532	640
454	534	640
455	535	639
456	536	637
457	537	636
458	538	634
459	539	633
460	540	631
461	540	629
462	541	628
463	542	626
464	544	626
465	545	625
466	546	623
467	547	622
468	549	621
469	549	620
470	550	618
471	551	617
472	552	615
473	553	613
474	554	612
475	554	610
476	555	609
477	556	607
478	557	606
479	559	605
480	560	605
481	562	604
482	562	602
483	563	601
484	564	599
485	565	597
486	566	596
487	566	594
488	567	593
489	568	591
490	569	590
491	569	588
492	570	586
493	571	585
494	572	584
495	574	583
496	575	582
497	576	581
498	577	579
499	577	577
500	578	576
501	579	575
502	580	573
503	581	572
504	582	570
505	582	568
506	583	567
507	584	565
508	584	564
509	585	562
510	587	562
511	588	560
512	589	559
513	591	559
514	592	558
515	593	556
516	593	554
517	594	553
518	595	551
519	596	550
520	597	548
521	597	547
522	598	545
523	599	544
524	599	542
525	601	541
526	602	540
527	604	540
528	604	538
529	605	537
530	606	535
531	607	534
532	608	532
533	609	531
534	609	530
535	610	528
536	611	526
537	611	525
538	612	523
539	613	522
540	614	520
541	615	519
542	616	519
543	617	517
544	618	516
545	619	515
546	620	513
547	620	512
548	621	510
549	622	509
550	623	508
551	624	506
552	624	505
553	625	503
554	626	502
555	627	500
556	627	499
557	628	498
558	630	497
559	631	496
560	632	495
561	633	493
562	634	492
563	635	491
564	636	489
565	636	488
566	637	487
567	638	485
568	639	484
569	639	482
570	640	481
571	641	479
572	642	478
573	644	478
574	645	476
575	646	475
576	648	475
577	649	473
578	649	472
579	650	471
580	651	469
581	652	468
582	652	466
583	653	465
584	654	464
585	655	462
586	655	461
587	656	459
588	658	459
589	659	458
590	661	457
591	662	456
592	664	455
593	665	454
594	666	453
595	668	452
596	669	451
597	670	450
598	671	449
599	674	449
600	675	448
601	677	447
602	678	446
603	679	445
604	681	445
605	682	443
606	683	442
607	685	441
608	687	441
609	689	440
610	691	440
611	692	439
612	694	438
613	695	437
614	696	435
615	697	434
616	698	433
617	700	433
618	703	432
619	704	431
620	705	430
621	707	430
622	708	428
623	709	427
624	710	426
625	711	425
626	713	424
627	715	423
628	716	422
629	718	422
630	719	421
631	721	419
632	722	418
633	723	417
634	724	416
635	725	415
636	726	414
637	729	414
638	732	413
639	733	412
640	734	411
641	735	410
642	736	408
643	737	407
644	738	406
645	739	405
646	740	404
647	743	403
648	744	402
649	745	401
650	746	400
651	747	399
652	748	397
653	749	396
654	750	395
655	752	394
656	753	393
657	754	391
658	755	390
659	757	390
660	759	389
661	760	388
662	761	387
663	762	385
664	763	384
665	764	383
666	765	382
667	766	381
668	767	379
669	768	378
670	770	377
671	772	376
672	773	375
673	774	374
674	775	373
675	776	372
676	777	370
677	778	369
678	779	368
679	780	367
680	781	366
681	782	364
682	783	363
683	785	362
684	786	361
685	787	360
686	788	359
687	789	358
688	790	357
689	792	355
690	793	354
691	794	353
692	794	352
693	795	350
694	797	349
695	798	348
696	800	347
697	801	346
698	802	345
699	803	344
700	804	343
701	805	341
702	806	340
703	807	339
704	808	338
705	809	336
706	810	335
707	811	334
708	812	333
709	813	332
710	814	331
711	815	330
712	816	328
713	817	327
714	818	326
715	819	325
716	820	323
717	821	322
718	822	321
719	823	320
720	824	319
721	825	318
722	826	316
723	828	315
724	829	314
725	830	313
726	831	312
727	832	311
728	833	309
729	834	308
730	835	307
731	836	306
732	837	305
733	838	303
734	839	302
735	840	301
736	841	300
737	842	299
738	844	298
739	845	297
740	846	295
741	847	294
742	848	293
743	849	292
744	850	290
745	850	289
746	851	288
747	853	287
748	853	286
749	855	285
750	856	283
751	857	282
752	858	281
753	859	280
754	860	279
755	861	278
756	862	276
757	863	275
758	865	274
759	866	273
760	867	272
761	868	271
762	869	269
763	870	268
764	870	267
765	872	266
766	873	265
767	874	264
768	876	263
769	877	262
770	878	260
771	879	259
772	881	258
773	882	257
774	883	256
775	884	255
776	884	253
777	885	252
778	887	251
779	888	250
780	889	249
781	890	248
782	891	247
783	892	245
784	893	244
785	894	243
786	895	242
787	896	241
788	897	239
789	898	238
790	899	237
791	899	236
792	901	235
793	902	234
794	903	232
795	904	231
796	905	230
797	906	229
798	907	228
799	908	227
800	908	225
801	909	224
802	910	223
803	911	222
804	912	221
805	913	219
806	914	218
807	916	217
808	917	216
809	918	215
810	919	214
811	920	213
812	921	211
813	922	210
814	923	209
815	924	208
816	925	207
817	926	206
818	927	204
819	928	203
820	929	202
821	930	201
822	931	200
823	932	199
824	933	198
825	934	196
826	935	195
827	936	194
828	937	193
829	938	192
830	939	191
831	940	189
832	941	188
833	942	187
834	943	186
835	945	185
836	946	184
837	947	183
838	948	181
839	949	180
840	950	179
841	951	178
842	952	177
843	952	176
844	953	174
845	954	173
846	955	172
847	956	171
848	957	170
849	958	169
850	960	168
851	961	167
852	962	165
853	963	164
854	964	163
855	966	162
856	967	161
857	969	160
858	970	159
859	971	158
860	974	157
861	977	156
862	978	155
863	979	154
864	980	153
865	981	151
866	982	150
867	983	149
868	984	148
869	986	147
870	988	146
871	989	145
872	990	144
873	991	142
874	992	141
875	993	140
876	994	139
877	995	138
878	996	137
879	997	136
880	998	134
881	999	133
882	1000	132
883	1001	131
884	1003	130
885	1004	129
886	1005	128
887	1006	126
888	1008	125
889	1010	124
890	1013	123
891	1015	122
892	1016	121
893	1018	120
894	1019	119
895	1022	118
896	1023	117
897	1024	116
898	1025	115
899	1026	114
900	1027	112
901	1028	111
902	1029	110
903	1030	109
904	1033	108
905	1034	107
906	1035	106
907	1036	105
908	1038	103
909	1039	102
910	1040	101
911	1041	100
912	1043	99
913	1044	98
914	1045	97
915	1047	96
916	1048	94
917	1049	93
918	1051	92
919	1052	91
920	1053	90
921	1054	89
922	1055	88
923	1056	86
924	1057	85
925	1058	84
926	1059	83
927	1061	82
928	1062	81
929	1063	80
930	1064	78
931	1065	77
932	1066	76
933	1067	75
934	1068	74
935	1069	73
936	1070	71
937	1071	70
938	1072	69
939	1073	68
940	1075	67
941	1076	66
942	1077	65
943	1078	63
944	1079	62
945	1080	61
946	1081	60
947	1082	59
948	1083	58
949	1084	57
950	1085	55
951	1086	54
952	1087	53
953	1088	52
954	1089	51
955	1091	50
956	1092	49
957	1093	47
958	1094	46
959	1095	45
960	1095	44
961	1097	43
962	1097	42
963	1098	41
964	1099	39
965	1100	38
966	1101	37
967	1103	36
968	1105	35
969	1106	34
970	1107	33
971	1108	31
972	1109	30
973	1110	29
974	1111	28
975	1112	27
976	1113	26
977	1114	25
978	1115	23
979	1116	22
980	1118	21
981	1119	20
982	1120	19
983	1121	18
984	1122	17
985	1123	15
986	1124	14
987	1125	13
988	1126	12
989	1127	11
990	1128	10
991	1129	9
992	1130	7
993	1132	6
994	1133	5
995	1134	4
996	1136	3
997	1137	2
998	1138	1
999	1139	0
